plant,hermaphrodite,colors,cluster,ear_position,ear_rows,fertilization_rate,ear_length,ear_weight,corncob_weight,kernel_weight,seed_weight,n_seeds
55ecc4,False,Blue azure,"(-1,-4)",2,12,99,16.5,74.57,12.16,62.41,0.1456,428.64010989011
55ecc4,False,Blue azure,"(-1,-4)",1,12,70,10.5,46.73,8.91,37.82,0.1617,233.889919604205
7d5dc6,False,Blue azure white,"(-1,-3)",1,10,85,13.5,47.61,6.7,40.9,0.14,292.142857142857
7d5dc6,False,Blue azure white,"(-1,-3)",2,12,90,7.5,24.29,3.38,20.91,0.14,149.357142857143
1d8233,False,white blue pink,"(-1,-3)",1,12,95,13.7,54.22,6.73,47.45,0.1453,326.565726083964
1d8233,False,white blue pink yellow,"(-1,-3)",2,12,90,15.2,50.09,6.7,43.25,0.134,322.761194029851
1da7eb,False,blue white,"(-1,-3)",1,12,70,12.5,51.99,7.3,44.44,0.1496,297.058823529412
1da7eb,False,blue white azure,"(-1,-3)",2,10,70,8.3,27.8,3.72,24.06,0.1547,155.526826115061
4ce96c,False,blue white,"(-1,-3)",1,10,80,11.5,40.42,6.41,33.85,0.1424,237.710674157303
3a7611,False,Light purple white,"(-1,-1)",1,12,85,18.7,68.16,12.03,56.1,0.1443,388.773388773389
3a7611,False,white pink,"(-1,-1)",2,12,80,13.5,47.16,9.27,37.92,0.1433,264.619678995115
4118be,False,Whittier purplelight,"(-1,-1)",1,12,98,18,81.83,13.3,67.61,0.1273,531.107619795758
4118be,False,white pink,"(-1,-1)",2,12,95,16.4,63.15,10.93,51.96,0.1313,395.734958111196
05698e,False,yellow purple pink,"(-1,-1)",2,10,90,19.5,77,12.02,64.96,0.1967,330.249110320285
93a6b0,False,White purplelight,"(-1,-1)",1,12,98,18,78.28,14.85,64.1,0.1366,469.253294289898
ed3f5a,False,"['white', 'purple', 'pink', 'red']","(-1,4)",2,10,95,20.8,58.08,15.28,9.84,0.1103,89.2112420670898
ed3f5a,False,"['white', 'purple', 'pink', 'red']","(-1,4)",1,10,90,21.3,60.72,15.47,45.2,0.134,337.313432835821
00adec,False,"['yellow', 'white', 'purple']","(1,2)",3,8,60,8.5,13.96,4.12,9.84,0.1103,89.2112420670898
eccc72,False,pruple yellow green pink,"(1,1)",1,10,70,6.8,22.42,5.32,17.09,0.1614,105.885997521685
09f8de,False,"['white', 'yellow', 'purple', 'blue']","(1,1)",1,12,80,15.5,47.93,11.01,36.92,0.125,295.36
09f8de,False,"['white', 'yellow', 'purple', 'blue']","(1,1)",2,12,95,13.5,65.35,8.81,56.54,0.1283,440.685892439595
09f8de,False,"['white', 'yellow', 'purple', 'blue']","(1,1)",3,12,98,14,70.22,9.91,56.54,0.1366,413.909224011713
4abdae,False,white blue azure,"(1,-1)",1,12,95,14.5,76.78,10.06,66.54,0.166,400.843373493976
89db3d,False,white blue azure,"(1,-1)",2,12,60,12,41.6,9.03,32.5,0.1484,219.00269541779
9834a2,False,yellow purple blue pink green,"(1,-2)",3,10,50,9.6,30.52,3.22,62.41,0.24,260.041666666667
cea55d,False,purple yellow white,"(1,-2)",2,12,90,10.7,45.35,7.53,37.63,0.169,222.662721893491
746d1f,False,['blue'],"(1,-4)",1,12,98,16,93.15,13.8,77.57,0.194,399.845360824742
0deedc,False,['blue'],"(1,-4)",1,12,92,15.5,93.76,14.43,79.33,0.1983,400.05042864347
19e04f,False,"['blue', 'white']","(1,-4)",2,10,85,16,77.97,11.12,66.85,0.201,332.587064676617
19e04f,False,White blue purple azure,"(1,-4)",2,10,75,14,67.05,9.38,57.64,0.1853,311.063140852671
798f11,True,white light purple,"(1,-5)",1,10,92,10.3,35.05,3.95,31.08,0.1767,175.891341256367
4a2237,True,"['white', 'blue', 'purple']","(1,-5)",1,12,70,12,42.94,7.8,35.14,0.1806,194.573643410853
4a2237,True,"['white', 'blue', 'purple']","(1,-5)",2,12,65,12,36.89,7.2,29.69,0.1776,167.173423423423
